//Hero Names
"npc_dota_hero_queenofpain"			"Akasha"
"npc_dota_hero_antimage"			"Magina"
"npc_dota_hero_kunkka"				"Admiral"
"npc_dota_hero_lina"				"Line Inverse"
"npc_dota_hero_mirana"				"Priestess of the Moon"
"npc_dota_hero_slardar"				"Slithereen Guard"
"npc_dota_hero_lion"				"Demon Witch"
"npc_dota_hero_phantom_assassin"	"Mortred"
"npc_dota_hero_tidehunter"			"Leviathan"
"npc_dota_hero_witch_doctor"		"Witch Doctor"
"npc_dota_hero_vengefulspirit"		"Vengeful Spirit"
"npc_dota_hero_juggernaut"			"Yurnero"
"npc_dota_hero_earthshaker"			"Earthshaker"
"npc_dota_hero_pudge"				"Butcher"
"npc_dota_hero_bane"				"Atropos"
"npc_dota_hero_crystal_maiden"		"Crystal Maiden"
"npc_dota_hero_sven"				"Rogue Knight"
"npc_dota_hero_skeleton_king"		"King Leoric"
"npc_dota_hero_storm_spirit"		"Storm Spirit"
"npc_dota_hero_sand_king"			"Crixalis"
"npc_dota_hero_nevermore"			"Nevermore"
"npc_dota_hero_drow_ranger"			"Traxex"
"npc_dota_hero_axe"					"Mogul Khan"
"npc_dota_hero_bloodseeker"			"Stygwyr"
"npc_dota_hero_phantom_lancer"		"Phantom Lancer"
"npc_dota_hero_razor"				"Lightning Revenant"
"npc_dota_hero_morphling"			"Morphling"
"npc_dota_hero_zuus"				"Lord of Olympi"
"npc_dota_hero_tiny"				"Stone Giant"
"npc_dota_hero_puck"				"Faerie Dragon"
"npc_dota_hero_windrunner"			"Windranger"
"npc_dota_hero_lich"				"Kel'Thuzad"
"npc_dota_hero_shadow_shaman"		"Rhasta"
"npc_dota_hero_riki"				"Stealth Assassin"
"npc_dota_hero_enigma"				"Enigma"
"npc_dota_hero_tinker"				"Tinker"
"npc_dota_hero_sniper"				"Dwarven Sniper"
"npc_dota_hero_necrolyte"			"Necrophos"
"npc_dota_hero_warlock"				"Warlock"
"npc_dota_hero_beastmaster"			"Rexxar"
"npc_dota_hero_venomancer"			"Venomancer"
"npc_dota_hero_faceless_void"		"Faceless Void"
"npc_dota_hero_death_prophet"		"Krobelus"
"npc_dota_hero_pugna"				"Oblivion"
"npc_dota_hero_templar_assassin"	"Lanaya"
"npc_dota_hero_viper"				"Netherdrake"
"npc_dota_hero_luna"				"Moon Rider"
"npc_dota_hero_dragon_knight"		"Knight Davion"
"npc_dota_hero_dazzle"				"Dazzle"
"npc_dota_hero_rattletrap"			"Clockwerk Goblin"
"npc_dota_hero_leshrac"				"Tormented Soul"
"npc_dota_hero_furion"				"Furion"
"npc_dota_hero_life_stealer"		"N'aix"
"npc_dota_hero_dark_seer"			"Dark Seer"
"npc_dota_hero_clinkz"				"Bone Fletcher"
"npc_dota_hero_omniknight"			"Omniknight"
"npc_dota_hero_enchantress"			"Enchantress"
"npc_dota_hero_huskar"				"Sacred Warrior"
"npc_dota_hero_night_stalker"		"Balanar"
"npc_dota_hero_broodmother"			"Black Aarachnia"
"npc_dota_hero_bounty_hunter"		"Gondar"
"npc_dota_hero_weaver"				"Nerubian Weaver"
"npc_dota_hero_jakiro"				"Twin-headed Dragon"
"npc_dota_hero_batrider"			"Batrider"
"npc_dota_hero_chen"				"Holy Knight"
"npc_dota_hero_spectre"				"Mercurial"
"npc_dota_hero_doom_bringer"		"Lucifer"
"npc_dota_hero_ancient_apparition"	"Ancient Apparition"
"npc_dota_hero_ursa"				"Ursa Warrior"
"npc_dota_hero_spirit_breaker"		"Barathrum"
"npc_dota_hero_gyrocopter"			"Gyrocopter"
"npc_dota_hero_alchemist"			"Alchemist"
"npc_dota_hero_invoker"				"Kael"
"npc_dota_hero_silencer"			"Silencer"
"npc_dota_hero_obsidian_destroyer"	"Obsidian Destroyer"
"npc_dota_hero_lycan"				"Lycanthrope"
